gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000130294.18,KIF1A,4.586008026145045,1.9150614255767862,24.061070904586064,4.0157804761676015e-21,4.2941538559201394e-17,36.8643409623798
ENSG00000130508.11,PXDN,2.9225039468591625,4.5124216583446275,23.876521894419245,4.999888054864225e-21,4.2941538559201394e-17,38.03238433109235
ENSG00000112893.10,MAN2A1,-3.8760351722652544,5.5954662389992285,-23.489224928190904,7.959900955357344e-21,4.5575739570057706e-17,37.42954799600374
ENSG00000135074.16,ADAM19,2.0251409100069924,6.55140095107647,22.82871573391796,1.7878522688036834e-20,7.677484605310217e-17,36.78597934205494
ENSG00000101189.7,MRGBP,-4.603445113546757,3.943204579034917,-22.115727553663827,4.385702767733567e-20,1.5066643288271897e-16,34.367540202979235
ENSG00000117597.18,UTP25,-2.3460585853246783,5.165460793498688,-21.907301285595608,5.728937368250432e-20,1.6400992862406278e-16,35.60378042431078
ENSG00000136381.13,IREB2,-3.2766442414127597,6.243369461996161,-21.864294592728708,1.6635626929514867e-19,4.0821451966896695e-16,34.59610194346102
ENSG00000116962.15,NID1,2.2587331471768928,3.15539529345453,19.80881946131462,9.6347826791034e-19,2.0687082759869884e-15,32.80808961022057
ENSG00000137819.14,PAQR5,-1.1623635617806076,7.9043133711769125,-19.586975659147477,1.318108705892869e-18,2.5156836934579793e-15,32.46758339124141
ENSG00000173210.21,ABLIM3,2.3301209848650335,3.568603191961775,19.35526842731219,1.834574248237493e-18,3.1512481861975417e-15,32.17496673940414
ENSG00000147394.20,ZNF185,1.929893645947966,3.582419226026757,18.240213835328184,9.456367368841331e-18,1.454818210946343e-14,30.544635038457262
ENSG00000150551.11,LYPD1,2.1773916989972357,3.9313216944204874,18.192454877319097,1.0163485201930556e-17,1.454818210946343e-14,30.475754461778156
ENSG00000140545.16,MFGE8,1.5788815353589776,6.779422702120891,17.97760289460711,1.4086156820841417e-17,1.8612147362430232e-14,30.085465330352648
ENSG00000181790.13,ADGRB1,4.994260824962171,-0.3709883005284169,17.814763696995136,1.8078978709255132e-17,2.2181615520633956e-14,28.115094317132154
ENSG00000105409.19,ATP1A3,2.588396125398878,2.8379288472056587,17.3231658339695,3.88546783095107e-17,4.449378728816436e-14,29.14003420020027
ENSG00000168785.8,TSPAN5,1.1538432422595843,5.150736215845452,17.18173594821112,4.858240649846096e-17,5.2156249776503994e-14,28.87138413494369
ENSG00000022567.10,SLC45A4,-1.4883731084634115,5.417593050584551,-17.012664705120333,6.358359952588243e-17,6.424561700329896e-14,28.62119594750401
ENSG00000074416.16,MGLL,-1.4892625988303914,6.792721411418537,-16.953439082665533,6.99050416554711e-17,6.670882780644594e-14,28.485352628236036
ENSG00000170558.10,CDH2,1.3244131299382105,6.569988447275494,16.627117524254448,1.1842380869349477e-16,1.0063884163784481e-13,27.93282428833338
ENSG00000104881.16,PPP1R13L,1.5013702809504321,4.297246631016319,16.612070772173055,1.2136205593917282e-16,1.0063884163784481e-13,27.989675366070664
ENSG00000166833.23,NAV2,1.6669145996634993,5.19570346225156,16.60365775239073,1.2303753125660715e-16,1.0063884163784481e-13,27.93384131510062
ENSG00000138131.4,LOXL4,2.637372944679275,2.7596705866788462,16.399028372493817,1.7204058333489567e-16,1.343245954519774e-13,27.626001972862678
ENSG00000179820.17,MYADM,1.225728756061973,7.8089799957039965,16.33697955842872,1.9057607364619342e-16,1.364221833087195e-13,27.438978032338127
ENSG00000135919.14,SERPINE2,1.5639080392184357,7.911609236756673,16.33686726176267,1.9061142221629317e-16,1.364221833087195e-13,27.43911791723676
ENSG00000169436.18,COL22A1,3.217733305958315,1.3770803385165982,16.29037097029263,2.0584367591999807e-16,1.3778249352165581e-13,27.3409997138825
