gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000198431.18,TXNRD1,-2.4416768371353514,10.509373356045266,-38.41802183092066,5.225086069103755e-27,8.97513034089952e-23,51.29892447621281
ENSG00000117115.13,PADI2,3.2122121919615587,4.372002946467149,36.835343466696536,1.7923398204840328e-26,1.5393510548227116e-22,49.8927053526721
ENSG00000186298.12,PPP1CC,-3.116822719229404,7.757661421832154,-30.823303343420058,3.2318166261329217e-24,1.85043047290284e-20,45.1311915549814
ENSG00000221926.13,TRIM16,-2.0117565724636357,8.445599699692197,-30.364102128052657,4.994716703577342e-24,2.1448562204337e-20,44.784623112275185
ENSG00000160211.20,G6PD,-3.0040720026343246,10.117076196761753,-29.551552143016114,1.0958014516425924e-23,3.7645163069729625e-20,44.03344845606911
ENSG00000108448.24,NA,-2.846550793092381,7.041912600609438,-29.20812812990552,1.5367304409840953e-23,4.399403130797301e-20,43.54656564840416
ENSG00000165410.15,CFL2,-2.313772467580242,6.99428166384377,-28.286158448300323,3.881522206215502e-23,9.524700990880524e-20,42.736336449004284
ENSG00000072210.19,ALDH3A2,-1.5628615655992324,8.219126687803023,-27.623684477497125,7.686958672504309e-23,1.6504861139700813e-19,42.14115309007349
ENSG00000291110.2,TRIM16L,-2.301904030185529,7.207226941777565,-27.31837645595884,1.0586311451804836e-22,1.7383088801066622e-19,41.76183391510815
ENSG00000116044.17,NFE2L2,-1.9195603181234475,6.694011645988269,-27.31529967448807,1.0620688335123447e-22,1.7383088801066622e-19,41.75205181151709
ENSG00000008394.13,MGST1,-2.1998631224336025,8.43322474056058,-27.27071431944609,1.1131977458912083e-22,1.7383088801066622e-19,41.77519485583001
ENSG00000115919.15,KYNU,-2.1283328642263197,7.836209818407147,-27.113550579848226,1.314615930366511e-22,1.8817631529921302e-19,41.60829880892922
ENSG00000244122.3,UGT1A7,-2.6783020252332035,6.176301717171818,-25.493565080196493,7.702721477557374e-22,9.51272203779561e-19,39.71757361950646
ENSG00000113140.11,SPARC,4.7604142527581175,2.3119120635386397,25.487739181817822,7.753281046116234e-22,9.51272203779561e-19,38.78213451675463
ENSG00000163453.11,IGFBP7,2.178678672845166,6.593884417150569,25.146227189090162,1.140485423355924e-21,1.3060078744656473e-18,39.48963244554665
ENSG00000181019.13,NQO1,-2.135855318532578,10.32802728470023,-24.59478729443336,2.1485961328638886e-21,2.3066522358876883e-18,38.878590938243526
ENSG00000106853.20,PTGR1,-2.638442191627029,7.73862954536733,-24.515704967981897,2.3553813582026327e-21,2.37990503469686e-18,38.76251754939419
ENSG00000146374.14,RSPO3,-1.6040327103517706,8.424712042184849,-24.304458922897755,3.014643418562411e-21,2.876807222258141e-18,38.54502532814967
ENSG00000271303.2,SRXN1,-1.8120061034837522,8.216009327669806,-24.082635424520916,3.914624621397927e-21,3.539026690618537e-18,38.28418559177632
ENSG00000151632.18,AKR1C2,-4.317980071591143,11.00787777013607,-26.158576929953224,8.730800947911656e-21,7.448354541940392e-18,37.5323897522559
ENSG00000104687.14,GSR,-1.6486169160828392,8.05405053391661,-23.378238445533505,9.106098002022951e-21,7.448354541940392e-18,37.451336048540696
ENSG00000198074.10,AKR1B10,-5.059044936657998,10.45832004994274,-26.187470628461483,2.4785067725252048e-20,1.935150492348429e-17,36.507811975761925
ENSG00000074410.14,CA12,-2.6709006848638777,8.919916014047915,-22.574415301442706,2.734981500634111e-20,2.040575292974715e-17,36.36431789068267
